skills,experience,salary,location,job_interest,sector,education_level
"Front Desk, Reservation Systems, Food Safety, Event Planning, Customer Service",15,73243,Setif,Hospitality,Tourism & Hospitality,Technical Diploma
"Safety Procedures, Plumbing, Site Management, Carpentry",10,90371,Blida,Construction,Construction,Technical Diploma
"Warehouse Ops, Fleet Management, Inventory Management",6,137390,Chlef,Logistics,Supply Chain,Technical Diploma
"Classroom Management, Mentoring, Curriculum Design, Assessment, Teaching, E-Learning",5,183703,Tipaza,Education,Education,Doctorate
"Lead Generation, Customer Service, CRM, Cold Calling, Sales Forecasting",1,82664,Annaba,Sales,Business,Doctorate
"Supply Chain, Fleet Management, Routing, Warehouse Ops, Inventory Management",1,62513,Bejaia,Logistics,Supply Chain,Bachelor's
"Node.js, Responsive Design, HTML, CSS, JavaScript",4,144215,Oran,Web Development,Information Technology,Doctorate
"SIEM, Forensics, Firewalls, Network Security, Ethical Hacking",5,134323,Bejaia,Cybersecurity,Information Technology,Technical Diploma
"Legal Research, Regulatory Compliance, Litigation",15,84993,Biskra,Legal,Legal,Master's
"Safety Procedures, Site Management, Plumbing, Blueprint Reading, Masonry, Carpentry",2,147681,Sidi Bel Abbès,Construction,Construction,Ingénieur
"Blueprint Reading, Carpentry, Plumbing, Safety Procedures, Site Management",7,66290,Blida,Construction,Construction,No Formal Education
"SIEM, Ethical Hacking, Forensics",1,108166,Annaba,Cybersecurity,Information Technology,Master's
"Medical Terminology, Patient Care, Anatomy, CPR, EMR",5,77409,Oran,Healthcare,Health,Doctorate
"JavaScript, Node.js, Responsive Design, WordPress",1,146884,Skikda,Web Development,Information Technology,Bachelor's
"Teaching, Classroom Management, E-Learning, Mentoring, Assessment",4,124141,Tlemcen,Education,Education,Technical Diploma
"Patient Care, Medical Terminology, EMR",1,143928,M'Sila,Healthcare,Health,Doctorate
"Anatomy, Phlebotomy, CPR, Medical Terminology",8,79357,Setif,Healthcare,Health,Doctorate
"Classroom Management, Mentoring, Teaching, Assessment",4,148121,Ouargla,Education,Education,Master's
"Blueprint Reading, AutoCAD, Project Management, SolidWorks",2,73778,Mostaganem,Engineering,Engineering,High School
"Legal Research, Negotiation, Contracts, Litigation",1,76593,Algiers,Legal,Legal,Technical Diploma
"Investment, Risk Management, Accounting, Financial Analysis, Budgeting",15,67290,Blida,Finance,Business,High School
"Legal Research, Litigation, Contracts, Regulatory Compliance",1,99438,Algiers,Legal,Legal,Bachelor's
"Risk Management, Financial Analysis, Investment, Auditing, Excel, Budgeting",3,56388,Setif,Finance,Business,Technical Diploma
"WordPress, Node.js, React, JavaScript, Responsive Design",2,121934,Relizane,Web Development,Information Technology,No Formal Education
"Excel, Risk Management, Accounting, Financial Analysis",3,76937,Algiers,Finance,Business,High School
"Fleet Management, Supply Chain, Warehouse Ops, Inventory Management",11,112720,Sidi Bel Abbès,Logistics,Supply Chain,Technical Diploma
"Patient Care, Phlebotomy, CPR",2,61079,Mostaganem,Healthcare,Health,Bachelor's
"Social Media, Analytics, Content Creation, Branding, Copywriting",1,58544,M'Sila,Marketing,Business,Master's
"Blueprint Reading, Masonry, Safety Procedures, Carpentry",15,62745,Tipaza,Construction,Construction,Technical Diploma
"SQL, C++, Django, Python, JavaScript",4,125887,Tizi Ouzou,Software Engineering,Information Technology,Ingénieur
"Linux, Networking, Security, Virtualization, Scripting",6,101694,Batna,System Administration,Information Technology,Ingénieur
"Google Ads, Copywriting, SEO, Social Media, Content Creation, Analytics",7,142255,Biskra,Marketing,Business,Doctorate
"Patient Care, Medical Terminology, Anatomy, CPR",1,61861,Algiers,Healthcare,Health,Doctorate
"UI/UX, 3D Modeling, Illustrator",5,103017,Setif,Art & Design,Creative,No Formal Education
"Network Security, Forensics, Firewalls, Ethical Hacking, Penetration Testing",10,162225,Biskra,Cybersecurity,Information Technology,Bachelor's
"Blueprint Reading, Plumbing, Site Management, Carpentry",2,63208,Oran,Construction,Construction,Technical Diploma
"Event Planning, Reservation Systems, Front Desk",13,179722,Oran,Hospitality,Tourism & Hospitality,High School
"Financial Analysis, Budgeting, Auditing, Excel",4,86044,Constantine,Finance,Business,High School
"Budgeting, Excel, Financial Analysis, Risk Management, Investment",1,134185,M'Sila,Finance,Business,No Formal Education
"Food Safety, Reservation Systems, Front Desk, Event Planning",3,155616,Tipaza,Hospitality,Tourism & Hospitality,Doctorate
"Budgeting, Auditing, Risk Management",2,87269,M'Sila,Finance,Business,Technical Diploma
"EMR, Patient Care, Phlebotomy",1,148102,Chlef,Healthcare,Health,Master's
"Masonry, Safety Procedures, Carpentry, Site Management",2,102946,Ouargla,Construction,Construction,Master's
"Risk Management, Budgeting, Investment",5,72837,Constantine,Finance,Business,No Formal Education
"Teaching, Classroom Management, Assessment, Curriculum Design, Mentoring",4,98690,Blida,Education,Education,High School
"Curriculum Design, Assessment, E-Learning, Teaching, Mentoring",14,153875,Skikda,Education,Education,Ingénieur
"Sales Forecasting, Cold Calling, Lead Generation, Customer Service",3,108027,Skikda,Sales,Business,Ingénieur
"Risk Management, Budgeting, Financial Analysis, Excel, Accounting",13,102298,Batna,Finance,Business,Ingénieur
"EMR, Phlebotomy, Patient Care, Anatomy, CPR",1,87334,Tizi Ouzou,Healthcare,Health,Ingénieur
"Negotiation, Lead Generation, Sales Forecasting, Cold Calling",10,107543,Bejaia,Sales,Business,Ingénieur
"Graphic Design, Photoshop, Illustrator, UI/UX",1,156263,Tizi Ouzou,Art & Design,Creative,Master's
"E-Learning, Classroom Management, Teaching",2,79064,Chlef,Education,Education,Bachelor's
"MATLAB, Project Management, AutoCAD, SolidWorks",12,60106,M'Sila,Engineering,Engineering,No Formal Education
"SQL, C++, Spring, Java",4,116887,Chlef,Software Engineering,Information Technology,Bachelor's
"CRM, Negotiation, Customer Service, Cold Calling",14,71284,M'Sila,Sales,Business,Technical Diploma
"Case Management, Contracts, Legal Research, Negotiation, Litigation",3,92220,Batna,Legal,Legal,High School
"SolidWorks, Blueprint Reading, AutoCAD, MATLAB",2,47282,Tizi Ouzou,Engineering,Engineering,Bachelor's
"E-Learning, Mentoring, Classroom Management, Curriculum Design",3,108393,Batna,Education,Education,Doctorate
"Photoshop, Illustrator, UI/UX, Creativity",1,101740,M'Sila,Art & Design,Creative,High School
"Budgeting, Accounting, Auditing, Excel, Investment, Financial Analysis",4,52819,Annaba,Finance,Business,Technical Diploma
"CPR, EMR, Medical Terminology",2,157795,Relizane,Healthcare,Health,No Formal Education
"Customer Service, Food Safety, Reservation Systems, Front Desk, Event Planning",10,82710,Tipaza,Hospitality,Tourism & Hospitality,No Formal Education
"Forensics, Network Security, Penetration Testing",3,96306,Bejaia,Cybersecurity,Information Technology,Doctorate
"Masonry, Blueprint Reading, Safety Procedures",2,85993,Annaba,Construction,Construction,Doctorate
"JavaScript, C++, Python",1,100533,Sidi Bel Abbès,Software Engineering,Information Technology,Bachelor's
"Django, Spring, C++",10,88184,M'Sila,Software Engineering,Information Technology,Technical Diploma
"Teaching, Curriculum Design, E-Learning, Mentoring",8,125267,Biskra,Education,Education,Technical Diploma
"WordPress, React, HTML, Responsive Design",2,52462,Ghardaia,Web Development,Information Technology,Master's
"Windows Server, Networking, Linux, Virtualization, Scripting, Security",1,86930,Blida,System Administration,Information Technology,Bachelor's
"Tractor Operation, Soil Testing, Crop Management",3,143181,Blida,Agriculture,Agriculture,No Formal Education
"Warehouse Ops, Fleet Management, Routing, Inventory Management",4,152267,Bejaia,Logistics,Supply Chain,Bachelor's
"MATLAB, SolidWorks, AutoCAD, Design",2,177942,Oran,Engineering,Engineering,Technical Diploma
"Fleet Management, Supply Chain, Inventory Management, Routing",13,125180,Relizane,Logistics,Supply Chain,Doctorate
"Photoshop, 3D Modeling, Illustrator, UI/UX, Creativity",15,73575,Batna,Art & Design,Creative,Doctorate
"Plumbing, Masonry, Carpentry, Safety Procedures, Blueprint Reading, Site Management",14,88969,Skikda,Construction,Construction,Doctorate
"Soil Testing, Tractor Operation, Pest Control, Agro-tech",5,88788,Constantine,Agriculture,Agriculture,No Formal Education
"Assessment, Curriculum Design, Teaching, Mentoring, Classroom Management",1,62155,Biskra,Education,Education,No Formal Education
"SQL, Java, JavaScript",9,104943,M'Sila,Software Engineering,Information Technology,Ingénieur
"Soil Testing, Tractor Operation, Irrigation, Agro-tech, Pest Control, Crop Management",4,85762,Bejaia,Agriculture,Agriculture,Bachelor's
"Blueprint Reading, AutoCAD, SolidWorks",1,107547,Tlemcen,Engineering,Engineering,Doctorate
"E-Learning, Mentoring, Curriculum Design, Classroom Management, Teaching",5,164734,Algiers,Education,Education,High School
"Mentoring, Curriculum Design, Assessment, Classroom Management, Teaching",1,70112,Constantine,Education,Education,Bachelor's
"Windows Server, Virtualization, Linux, Networking, Security",1,171936,Tlemcen,System Administration,Information Technology,High School
"Penetration Testing, SIEM, Network Security",2,148121,Sidi Bel Abbès,Cybersecurity,Information Technology,Technical Diploma
"Windows Server, Security, Linux, Virtualization, Scripting",1,82755,Setif,System Administration,Information Technology,Doctorate
"Data Visualization, SQL, Statistics, Machine Learning",13,111388,Tlemcen,Data Science,Information Technology,Ingénieur
"CRM, Sales Forecasting, Cold Calling, Lead Generation, Negotiation",9,84897,Ghardaia,Sales,Business,Ingénieur
"Regulatory Compliance, Litigation, Case Management, Negotiation, Legal Research",15,83743,M'Sila,Legal,Legal,Technical Diploma
"Reservation Systems, Customer Service, Food Safety",2,178296,Oran,Hospitality,Tourism & Hospitality,No Formal Education
"Content Creation, Analytics, Social Media, Branding",7,81040,Skikda,Marketing,Business,High School
"EMR, CPR, Phlebotomy",5,59140,M'Sila,Healthcare,Health,Technical Diploma
"Curriculum Design, E-Learning, Assessment, Teaching",2,100682,Algiers,Education,Education,Technical Diploma
"Python, Data Visualization, Statistics, R, Machine Learning, SQL",3,63207,Tizi Ouzou,Data Science,Information Technology,Technical Diploma
"Google Ads, Social Media, Copywriting, Content Creation",7,114237,Constantine,Marketing,Business,High School
"Fleet Management, Warehouse Ops, Inventory Management, Routing, Supply Chain",4,115642,Skikda,Logistics,Supply Chain,Master's
"Social Media, Google Ads, SEO, Content Creation, Copywriting, Analytics",5,96216,Skikda,Marketing,Business,High School
"JavaScript, Python, Git, REST, Django, SQL",3,137736,Skikda,Software Engineering,Information Technology,Doctorate
"Python, REST, C++",3,62197,Bejaia,Software Engineering,Information Technology,Bachelor's
"Sales Forecasting, Customer Service, CRM, Lead Generation",2,93269,M'Sila,Sales,Business,Technical Diploma
"3D Modeling, Illustrator, Creativity, Graphic Design, Photoshop, UI/UX",2,80447,Oran,Art & Design,Creative,High School
"Irrigation, Soil Testing, Crop Management, Tractor Operation",14,125583,Skikda,Agriculture,Agriculture,High School
"Photoshop, UI/UX, Illustrator, 3D Modeling",5,56682,Blida,Art & Design,Creative,High School
"Project Management, AutoCAD, SolidWorks, Design, Blueprint Reading",12,162384,Tipaza,Engineering,Engineering,No Formal Education
"Photoshop, 3D Modeling, UI/UX, Graphic Design",2,62520,Skikda,Art & Design,Creative,Doctorate
"Illustrator, 3D Modeling, Graphic Design, Creativity, UI/UX",7,76617,Tlemcen,Art & Design,Creative,Master's
"Investment, Accounting, Risk Management, Financial Analysis",3,68569,Constantine,Finance,Business,Ingénieur
"Event Planning, Front Desk, Customer Service",6,68755,Ghardaia,Hospitality,Tourism & Hospitality,Bachelor's
"Supply Chain, Warehouse Ops, Fleet Management, Inventory Management, Routing",1,83285,Biskra,Logistics,Supply Chain,Doctorate
"CRM, Negotiation, Lead Generation, Sales Forecasting, Customer Service",1,121781,Blida,Sales,Business,Technical Diploma
"Social Media, SEO, Copywriting, Analytics, Content Creation, Google Ads",1,154654,Tizi Ouzou,Marketing,Business,No Formal Education
"3D Modeling, Graphic Design, Illustrator, Photoshop, Creativity, UI/UX",1,79402,Annaba,Art & Design,Creative,High School
"Security, Networking, Scripting, Linux, Virtualization, Windows Server",1,56176,Batna,System Administration,Information Technology,Bachelor's
"Photoshop, UI/UX, 3D Modeling",1,82479,Chlef,Art & Design,Creative,No Formal Education
"Mentoring, E-Learning, Assessment, Teaching, Classroom Management",3,108099,Setif,Education,Education,Master's
"E-Learning, Mentoring, Assessment, Classroom Management, Curriculum Design, Teaching",15,87481,Algiers,Education,Education,Master's
"3D Modeling, Graphic Design, Creativity, Illustrator",1,79170,Ghardaia,Art & Design,Creative,Master's
"Excel, Accounting, Auditing, Financial Analysis, Risk Management",4,71080,Ghardaia,Finance,Business,No Formal Education
"Python, R, Machine Learning",9,53207,Ghardaia,Data Science,Information Technology,Bachelor's
"HTML, Node.js, WordPress, Responsive Design",2,106668,Tizi Ouzou,Web Development,Information Technology,Bachelor's
"Contracts, Negotiation, Legal Research, Case Management",1,159265,Ghardaia,Legal,Legal,Master's
"Blueprint Reading, Project Management, MATLAB, SolidWorks, AutoCAD, Design",1,125675,Relizane,Engineering,Engineering,Technical Diploma
"Virtualization, Security, Linux, Networking, Windows Server, Scripting",10,127898,Skikda,System Administration,Information Technology,Technical Diploma
"CSS, JavaScript, WordPress, Responsive Design",1,114805,Relizane,Web Development,Information Technology,Doctorate
"Responsive Design, React, HTML, Node.js",4,108303,Batna,Web Development,Information Technology,Bachelor's
"Content Creation, Copywriting, Branding, SEO, Social Media",2,71967,Setif,Marketing,Business,Master's
"Routing, Warehouse Ops, Supply Chain",8,107568,Bordj Bou Arreridj,Logistics,Supply Chain,No Formal Education
"Customer Service, Lead Generation, Cold Calling, Negotiation, Sales Forecasting",3,67979,Algiers,Sales,Business,No Formal Education
"Negotiation, CRM, Cold Calling, Customer Service, Sales Forecasting",4,135094,Tlemcen,Sales,Business,Ingénieur
"Branding, Social Media, SEO, Analytics, Google Ads, Copywriting",1,77912,Ghardaia,Marketing,Business,Master's
"React, WordPress, Node.js, JavaScript, Responsive Design",13,156856,Tlemcen,Web Development,Information Technology,Technical Diploma
"Sales Forecasting, Customer Service, Cold Calling, Negotiation, Lead Generation",8,84471,Tipaza,Sales,Business,Doctorate
"Investment, Budgeting, Accounting",3,120079,M'Sila,Finance,Business,Doctorate
"Reservation Systems, Front Desk, Customer Service",2,65859,Tizi Ouzou,Hospitality,Tourism & Hospitality,High School
"Regulatory Compliance, Legal Research, Case Management, Litigation, Negotiation, Contracts",3,181126,Tizi Ouzou,Legal,Legal,High School
"Branding, Copywriting, Analytics, SEO, Google Ads, Social Media",5,91657,Tipaza,Marketing,Business,High School
"Ethical Hacking, Penetration Testing, Forensics, Firewalls, SIEM, Network Security",1,66041,Constantine,Cybersecurity,Information Technology,Master's
