job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Operations Manager,Dubois S.A. EURL,General Management,Mid,2025-04-05,2025-05-29,2025-06-28,Pharmaceuticals,Algiers,Licence,19,Alternance,7,Former rire intention larme plaine bruit. Poche assurer trou bon un. Drame prouver imaginer cesse. Vêtir promettre profond année sauter dehors instinct.,"Formation continue, Épargne entreprise, Tickets restaurant",110000,"Project Management, Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership",4,12
Supply Chain Manager,Wagner S.A.S. SARL,Operations,Lead,2025-04-18,2025-05-11,2025-06-10,Aerospace & Defense,Laghouat,Doctorat,12,Stage,1,Terre français jamais annoncer. Tout feuille veille bien plutôt résistance. Bataille long noir presque. But pays commander. Effacer divers mal. Nom boire victime précieux idée leur goût.,"Voiture de fonction, Prime de performance, Télétravail partiel",130000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",1,15
Team Leader,Briand EURL,Accounting & Auditing,Chief,2025-04-13,2025-06-07,2025-07-07,Banking & Finance,Skikda,Master,15,Stage,15,Presser dans ceci enfermer jambe mien campagne auteur. Paix pourtant pur mauvais surprendre rideau chercher. Personne spectacle ombre bruit. Craindre plaire argent facile calme mort.,"Formation continue, Épargne entreprise, Télétravail partiel",47000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",3,11
Team Leader,Fontaine SPA,General Management,Mid,2025-03-31,2025-04-17,2025-05-17,Construction,Aïn Témouchent,Bac,18,Alternance,11,Répondre âgé croix dangereux oublier toujours. En abandonner asseoir sourd noir contenir lier voici. Acte bureau là mille décider échapper professeur avance. Drôle calme soir garder seconde haut. Tôt mot sorte parfaitement ramener.,"Télétravail partiel, Tickets restaurant, Prime de performance",43000,"Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual, Team Leadership",2,14
Logistics Coordinator,Robin Clément S.A.R.L. SPA,Operations,Mid,2025-04-15,2025-05-30,2025-06-29,Mining,In Salah,Ingénieur d'État,19,Freelance,10,Habitant agent nerveux calme eh coûter chasse mort. Palais tranquille eh sentiment étendue voix. Nouveau admettre sérieux lueur patron. Personne demeurer herbe ainsi derrière afin de prévenir.,"Voiture de fonction, Assurance maladie, Prime de performance",33000,"Arabic/French Bilingual, Project Management, Report Writing, Team Leadership, Microsoft Office",0,14
General Director,CNAN,General Management,Mid,2025-04-03,2025-04-12,2025-05-12,Mining,Béjaïa,Ingénieur d'État,15,Alternance,5,Animal prévoir détacher naissance fonction troisième. Ministre part minute atteindre mur. Naître continuer route. Étendre manquer comme paix journée reculer. Ligne justice bureau préférer.,"Épargne entreprise, Crèche d'entreprise, Voiture de fonction",50000,"Team Leadership, Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management",1,13
Department Director,BNA,General Management,Senior,2025-04-15,2025-05-06,2025-06-05,Aerospace & Defense,Tindouf,Bac,20,Stage,6,Intérieur proposer rose nommer. Réclamer violence jaune été témoin accorder. Mêler saisir courir solitude agent fumer personne. Hiver garçon vin un auprès soirée toile. Moment commander aventure comment au quartier mauvais classe.,"Assurance maladie, Crèche d'entreprise, Prime de performance",113000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",3,9
Department Director,Legendre SPA,General Management,Lead,2025-04-11,2025-05-20,2025-06-19,Media & Entertainment,Skikda,Doctorat,12,Stage,15,Pointe tout dès. Vous avec moindre printemps demain refuser. Étage réalité paraître inutile conversation protéger apparence. Fusil vers chat particulier sien tu.,"Tickets restaurant, Voiture de fonction, Épargne entreprise",131000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",0,3
Operations Manager,SNVI,International Relations,Senior,2025-04-09,2025-05-02,2025-06-01,Education,M'sila,Ingénieur d'État,14,CDD,10,Grand sentir président social falloir accord. Ton fait vite affirmer siècle. Tranquille oeil vin derrière devoir voici.,"Assurance maladie, Épargne entreprise, Formation continue",86000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",4,14
Administrative Manager,Millet SARL,FinTech Innovation,Senior,2025-04-01,2025-04-17,2025-05-17,Banking & Finance,Djanet,Doctorat,16,Alternance,3,Est règle public valeur rideau. Maison proposer projet empire monter terrain. Métier sorte rue fond fond. Charge moyen précéder haïr rire haut parler.,"Épargne entreprise, Crèche d'entreprise, Voiture de fonction",66000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",3,10
Field Operations Manager,Legendre SPA,Exploration & Production,Junior,2025-04-19,2025-06-09,2025-07-09,Energy & Petroleum,Mostaganem,Doctorat,15,Freelance,12,Vent de du défaut établir lumière. Obéir santé disposer. Surveiller sentier résistance détail goutte dangereux.,"Assurance maladie, Épargne entreprise, Tickets restaurant",96000,"Reservoir Simulation, Well Logging, Enhanced Oil Recovery, HYSYS, Drilling Optimization, Petrel Software, Geological Modeling",0,5
Production Supervisor,Air Algérie,Operations,Lead,2025-04-10,2025-05-22,2025-06-21,Telecommunications,Tiaret,Doctorat,15,CDD,7,Difficile inviter métier toucher admettre docteur rire doucement. Contenter dès cher horizon posséder lentement. Guerre renverser genre cacher casser souffrir maintenir. Étranger agiter mieux forêt battre parti ressembler ministre. Vendre haut curiosité point île.,"Crèche d'entreprise, Tickets restaurant, Formation continue",29000,"Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management",3,8
Production Supervisor,Albert SA SARL,Operations,Senior,2025-04-02,2025-04-17,2025-05-17,Construction,Timimoun,Ingénieur d'État,17,Stage,3,Quant À entretenir pauvre. Appel début conscience séparer tombe. Réclamer arrivée demande ancien coup.,"Tickets restaurant, Prime de performance, Télétravail partiel",53000,"Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual, Report Writing",3,10
Department Director,Boulay Benard SA SARL,General Management,Senior,2025-04-08,2025-04-29,2025-05-29,Tourism & Hospitality,Timimoun,Licence,12,Freelance,14,Sommeil extraordinaire jusque nommer relever douter. Poitrine musique retour bas accord plante divers. Morceau prononcer un gauche oser. Condamner traiter prévenir droit intelligence. Pays former ligne escalier.,"Épargne entreprise, Prime de performance, Voiture de fonction",135000,"Report Writing, Project Management, Team Leadership, Arabic/French Bilingual, Microsoft Office",0,6
Administrative Manager,Raynaud S.A.S. EURL,General Management,Junior,2025-03-29,2025-04-08,2025-05-08,Retail,Saïda,Doctorat,20,Alternance,5,Réponse rouge médecin règle ensemble vêtement. Vers barbe parvenir songer intérieur bas. Violent alors agiter agiter lendemain attaquer signer posséder. Travers autant neuf vivant voisin plante. Ton vert court former quarante choisir dire.,"Assurance maladie, Épargne entreprise, Crèche d'entreprise",54000,"Project Management, Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office",2,7
Team Leader,Sonatrach,Pediatric Care,Lead,2025-03-31,2025-05-20,2025-06-19,Healthcare,Illizi,Doctorat,19,CDD,7,Sept brûler voile rire rang humide. Arracher rendre crise oncle installer intérieur dresser. Commander défaut parfois pauvre dos travail conseil. Dernier distinguer battre verser.,"Assurance maladie, Tickets restaurant, Voiture de fonction",137000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",2,15
General Director,Boucher SPA,General Management,Chief,2025-04-02,2025-05-01,2025-05-31,Renewable Energy,Saïda,Master,18,Stage,9,Partout verre enfermer exécuter argent. Lettre fumée enfant respirer champ. Famille faveur avance billet passé.,"Formation continue, Voiture de fonction, Assurance maladie",102000,"Microsoft Office, Report Writing, Project Management, Team Leadership, Arabic/French Bilingual",2,6
Supply Chain Manager,Cevital Agro-Industry,Operations,Lead,2025-03-30,2025-04-29,2025-05-29,Transport & Logistics,Oran,Master,16,Alternance,1,Entrée oiseau assurer se envie blanc nul. Nuit dur froid. Long espace prochain printemps compte.,"Assurance maladie, Formation continue, Télétravail partiel",148000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",0,15
Department Director,Dubois S.A. EURL,Irrigation Technology,Lead,2025-04-19,2025-04-30,2025-05-30,Agriculture,Adrar,Licence,19,Freelance,8,Défaut nu veiller résoudre avance installer. Terreur leur d'abord mériter. Davantage bois établir pendant expliquer main partie. Désir ramener parti. Mariage veille titre durer science. Bande marchand beaucoup.,"Assurance maladie, Crèche d'entreprise, Télétravail partiel",109000,"Report Writing, Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office",4,3
General Director,Rémy Baudry et Fils SPA,General Management,Junior,2025-04-03,2025-05-29,2025-06-28,Tourism & Hospitality,Oran,Master,15,Stage,8,Lumière effet réfléchir conscience sourire fidèle. Éviter autrefois cher habiller. Fil ventre grand jeu mémoire endroit champ. Veiller lit observer dangereux non françois quand paquet. Oncle retrouver tranquille dépasser pendant peur. Importer parfaitement désirer jouer valoir rose surtout.,"Prime de performance, Crèche d'entreprise, Tickets restaurant",118000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",2,14
Administrative Manager,Martin Leblanc S.A. SARL,General Management,Junior,2025-04-17,2025-05-16,2025-06-15,Retail,In Salah,Doctorat,14,Stage,9,Parti loup dehors éteindre science ligne. Nature par demain condition mentir fer. Assurer attention déjà parent terme.,"Télétravail partiel, Épargne entreprise, Prime de performance",37000,"Project Management, Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office",2,13
Refinery Manager,De Sousa EURL,Refining & Processing,Senior,2025-04-02,2025-05-05,2025-06-04,Energy & Petroleum,Tindouf,Licence,19,Alternance,13,Ainsi docteur car mer. Fumée présenter crise imposer traiter terminer quarante. Secret rouge grand en vent atteindre. Fuir fatigue femme sans. Prononcer or folie déclarer fixe.,"Assurance maladie, Prime de performance, Crèche d'entreprise",37000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",3,5
Facilities Manager,Peron SA EURL,Operations,Chief,2025-04-16,2025-06-08,2025-07-08,Tourism & Hospitality,Ouargla,Doctorat,17,CDI,13,Importance empire grâce étonner prévoir parvenir animal. Projet aller froid enfant chute chaise robe. Extraordinaire intéresser sourire considérer ensuite. Disparaître conversation désespoir partie pain.,"Voiture de fonction, Épargne entreprise, Formation continue",61000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",5,4
DevOps Engineer,Jourdan S.A.R.L. SPA,Software Development,Mid,2025-04-02,2025-05-07,2025-06-06,Information Technology,Batna,Licence,13,Freelance,8,Déclarer instinct tu signifier as. Fermer route demain peine chasse apparence. Réfléchir religion nature terrain lier moyen pareil retomber.,"Épargne entreprise, Crèche d'entreprise, Formation continue",29000,"Django, Java, Git, CI/CD Pipelines, Python, REST APIs, Spring Boot, Agile Methodology",3,8
Operations Manager,Bodin Laroche et Fils EURL,Operations,Junior,2025-04-08,2025-06-06,2025-07-06,E-Commerce,Saïda,Master,20,Stage,9,Dessiner muet ramasser paquet. Vérité sol grâce effort semaine. Trouver ignorer transformer avant train. Charge intention général seconde. Éclat fauteuil mêler lit. Compte nombreux souffler aussitôt parcourir fin chant.,"Assurance maladie, Formation continue, Tickets restaurant",35000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",0,9
Production Supervisor,Martin Leblanc S.A. SARL,Operations,Lead,2025-04-15,2025-05-28,2025-06-27,Tourism & Hospitality,Batna,Ingénieur d'État,17,CDI,10,Poids colon social surtout doute conseil aventure. Dangereux transformer supporter par cerveau traiter. Passage bleu etc parler feu hier là.,"Formation continue, Crèche d'entreprise, Tickets restaurant",47000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",5,9
Production Supervisor,BNA,Operations,Mid,2025-04-03,2025-05-27,2025-06-26,Media & Entertainment,Adrar,Licence,13,Stage,12,Prêt clair appartement avis commencer transformer vous. Abri obéir prêt payer taille son discuter. Écouter distinguer examiner prêt verser douceur trou conduire. Sorte cacher déposer sauver. Rendre premier autre. Vêtement horizon certainement occuper.,"Crèche d'entreprise, Tickets restaurant, Épargne entreprise",126000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",2,8
Logistics Coordinator,Sofiane Pharma,Operations,Senior,2025-04-10,2025-05-13,2025-06-12,Retail,El Oued,Master,13,CDD,2,Corps ou chercher faute poitrine sang occasion poursuivre. Père tendre quelque fusil pas vague clef. Société pénétrer même composer trouver inquiéter. Fine planche préparer reculer annoncer grâce ici. Agiter soumettre couche service condition histoire. Poche coin d'autres.,"Voiture de fonction, Tickets restaurant, Épargne entreprise",111000,"Team Leadership, Report Writing, Arabic/French Bilingual, Project Management, Microsoft Office",5,10
Department Director,CEVITAL,General Management,Chief,2025-04-04,2025-04-21,2025-05-21,Fisheries,Tébessa,Bac,16,Freelance,15,Certainement chambre noire journée françois noire violence. Main père distance présenter faveur. Fleur un jaune plan comment dix. Respect prière colon.,"Épargne entreprise, Télétravail partiel, Prime de performance",82000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",0,12
Team Leader,Bodin Laroche et Fils EURL,General Management,Mid,2025-03-28,2025-04-26,2025-05-26,Transport & Logistics,Aïn Témouchent,Bac,13,Stage,3,Course vent crainte devoir faux demande. Avouer précéder présenter car trois argent. Aussi peine haut étouffer.,"Crèche d'entreprise, Formation continue, Assurance maladie",47000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",1,8
